datetime,demand_mw,sarimax_pred,prophet_pred
2025-06-27 04:00:00,18096.0,16207.449261958647,17689.459757447625
2025-06-27 05:00:00,18155.5,16498.01961954494,18400.380958709164
2025-06-27 06:00:00,20440.5,18674.385424860906,19948.793773537425
2025-06-27 07:00:00,23162.5,21105.54302161612,21587.92094666002
2025-06-27 08:00:00,23676.0,22042.961381912177,22635.531067180487
2025-06-27 09:00:00,23096.5,22049.097834697597,22768.51354054919
2025-06-27 10:00:00,21980.5,21263.150972448428,21934.765055519758
2025-06-27 11:00:00,20555.0,21116.831363294776,21159.551933118983
2025-06-27 12:00:00,19690.0,21186.09007705182,20720.29864643308
2025-06-27 13:00:00,19162.5,20947.978882182495,20529.5629664745
2025-06-27 14:00:00,18918.5,20832.577385557022,20545.535684880724
2025-06-27 15:00:00,19149.5,21486.665373867498,21115.704631199478
2025-06-27 16:00:00,20817.0,23184.27374491533,22417.2448706792
2025-06-27 17:00:00,23084.5,25134.850452036782,24320.334268298073
2025-06-27 18:00:00,24163.0,26546.70600998808,26152.08268271037
2025-06-27 19:00:00,24785.0,26965.030971637036,27135.221296410276
2025-06-27 20:00:00,24240.5,26816.534017198246,26902.08247276812
2025-06-27 21:00:00,23879.5,26508.96549365527,25910.07219675631
2025-06-27 22:00:00,23049.0,25313.438943920002,24148.600468961737
2025-06-27 23:00:00,21189.5,23036.471224340756,22559.915924019082
2025-06-28 00:00:00,20114.5,21873.889795906638,21293.98930654073
2025-06-28 01:00:00,19315.5,21507.90609407611,20344.048742248135
2025-06-28 02:00:00,18483.0,21113.31104553463,19291.36411491729
2025-06-28 03:00:00,17936.0,20411.07498889676,18406.953666860973
2025-06-28 04:00:00,17299.5,20123.459769018275,18190.00739826094
2025-06-28 05:00:00,17416.0,20440.343437839205,18794.463496828794
2025-06-28 06:00:00,17928.0,22309.853573219407,20062.05828282427
2025-06-28 07:00:00,19145.5,24380.697997761872,21491.667723432227
2025-06-28 08:00:00,20579.5,24814.277922711975,22239.077362607444
