datetime,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2025-06-08 16:00:00,,20025.00241863883,,,,17856.050198429533,22193.954638848125,,,,1655.997581361171,-512.9546388481249,3824.9498015704667,,,
2025-06-08 17:00:00,,22221.03507580884,,,,20052.082958412324,24389.987193205354,,,,1584.9649241911611,-583.9871932053538,3753.917041587676,,,
2025-06-08 18:00:00,,24006.493217489973,,,,21837.541196108756,26175.445238871187,,,,936.5067825100268,-1232.445238871187,3105.4588038912443,,,
2025-06-08 19:00:00,,24724.626599777606,,,,22555.67466806365,26893.578531491567,,,,1011.3734002223937,-1157.5785314915665,3180.3253319363503,,,
2025-06-08 20:00:00,,25230.957203197042,,,,23062.00535522201,27399.90905117208,,,,266.54279680295804,-1902.4090511720788,2435.494644777991,,,
2025-06-08 21:00:00,,24978.35986338926,,,,22809.40809361678,27147.311633161742,,,,-739.3598633892616,-2908.311633161742,1429.5919063832189,,,
2025-06-08 22:00:00,,23679.70367817925,,,,21510.751981439,25848.655374919497,,,,-527.2036781792485,-2696.1553749194973,1641.7480185610002,,,
2025-06-08 23:00:00,,22348.519833795937,,,,20179.568205259442,24517.471462332433,,,,-1629.0198337959373,-3797.9714623324326,539.931794740558,,,
2025-06-09 00:00:00,,20205.959038927314,,,,18037.00747408533,22374.9106037693,,,,-216.4590389273144,-2385.410603769302,1952.4925259146694,,,
2025-06-09 01:00:00,,19443.42552858591,,,,17274.47402322733,21612.377033944493,,,,190.5744714140892,-1978.3770339444927,2359.525976772671,,,
2025-06-09 02:00:00,,18966.34962133237,,,,16797.398171524503,21135.30107114024,,,,261.1503786676294,-1907.8010711402385,2430.1018284754973,,,
2025-06-09 03:00:00,,18459.603430507683,,,,16290.652032577851,20628.55482843751,,,,244.8965694923172,-1924.0548284375109,2413.847967422149,,,
2025-06-09 04:00:00,,17965.14988715147,,,,15796.198537669823,20134.10123663312,,,,408.85011284852953,-1760.1012366331197,2577.801462330177,,,
2025-06-09 05:00:00,,17551.54924470371,,,,15382.597940467153,19720.500548940272,,,,1604.4507552962896,-564.500548940272,3773.4020595328475,,,
2025-06-09 06:00:00,,18243.492350149412,,,,16074.541088166625,20412.4436121322,,,,3657.5076498505878,1488.5563878678004,5826.458911833375,,,
2025-06-09 07:00:00,,20552.26408834619,,,,18383.312865823624,22721.21531086876,,,,3877.23591165381,1708.2846891312402,6046.187134176376,,,
2025-06-09 08:00:00,,22666.551530656725,,,,20497.600344985523,24835.50271632793,,,,2112.448469343275,-56.5027163279301,4281.399655014477,,,
2025-06-09 09:00:00,,23089.646946737303,,,,20920.695795481093,25258.598097993512,,,,1309.8530532626974,-859.098097993512,3478.8042045189068,,,
2025-06-09 10:00:00,,22936.842190025494,,,,20767.891070908987,25105.793309142,,,,1027.1578099745057,-1141.7933091420018,3196.108929091013,,,
2025-06-09 11:00:00,,22812.15387009736,,,,20643.202780995693,24981.104959199034,,,,1396.8461299026385,-772.104959199034,3565.7972190043074,,,
2025-06-09 12:00:00,,23251.764869232637,,,,21082.813808161423,25420.715930303853,,,,828.7351307673634,-1340.2159303038534,2997.6861918385766,,,
2025-06-09 13:00:00,,23245.44108378849,,,,21076.49004889455,25414.392118682434,,,,318.5589162115102,-1850.3921186824336,2487.5099511054505,,,
2025-06-09 14:00:00,,23020.071590218697,,,,20851.120579771363,25189.02260066603,,,,347.92840978130334,-1821.0226006660305,2516.879420228637,,,
2025-06-09 15:00:00,,23020.073837129177,,,,20851.12284951221,25189.024824746146,,,,658.9261628708227,-1510.024824746146,2827.8771504877914,,,
2025-06-09 16:00:00,,23820.570468142723,,,,21651.619501846733,25989.521434438713,,,,1601.4295318572767,-567.5214344387132,3770.3804981532667,,,
2025-06-09 17:00:00,,25625.924035392294,,,,23456.97308900769,27794.874981776906,,,,1542.0759646077058,-626.8749817769058,3711.02691099231,,,
2025-06-09 18:00:00,,27195.29187475975,,,,25026.340946970126,29364.24280254938,,,,791.2081252402495,-1377.7428025493791,2960.1590530298745,,,
2025-06-09 19:00:00,,27954.77136983651,,,,25785.820459412495,30123.72228026053,,,,-71.27136983651144,-2240.2222802605284,2097.6795405875055,,,
2025-06-09 20:00:00,,27721.703338940493,,,,25552.752444733993,29890.65423314699,,,,-1429.2033389404933,-3598.15423314699,739.7475552660071,,,
2025-06-09 21:00:00,,26171.03069067186,,,,24002.07981161069,28339.98156973303,,,,-432.5306906718615,-2601.4815697330305,1736.420188389311,,,
